	-4	-3	-2	-1	+1	+2	+3	+4	+5	+6	+7	+8	+9	+10	+11
meg	0	15	30680	4022084	1930133	37637	452	54	9	0	1	0	0	0	0
el	0	21	21716	2614517	1305881	28059	610	86	13	6	2	0	0	0	0
ki	0	2	11583	1541336	1054549	18457	447	78	17	8	1	1	1	0	0
be	0	10	10433	1002216	690049	11765	253	36	7	1	0	0	0	0	0
fel	0	3	7412	969637	619035	10591	249	27	5	1	0	0	0	0	0
le	0	7	6918	799668	335159	7087	195	38	10	1	0	0	0	0	0
át	0	2	2981	321665	219589	5286	181	51	11	6	0	0	0	0	0
vissza	4	12	2531	337093	151615	6630	586	195	42	19	5	3	1	1	1
össze	0	4	1391	226145	154161	5847	309	72	33	7	4	0	0	0	0
elő	0	1	719	182257	161652	4507	240	62	7	2	0	0	0	0	0
hozzá	0	0	521	210821	133101	3184	199	50	8	5	2	0	0	0	0
rá	0	0	669	190487	82525	1919	51	7	2	2	0	0	0	0	0
bele	0	0	999	155867	63396	2526	128	41	4	2	1	0	0	0	0
föl	0	0	568	99480	59149	1362	46	11	2	3	0	0	0	0	0
oda	0	2	705	78300	37501	2580	174	76	21	9	4	2	0	0	0
létre	0	0	96	52334	60424	406	12	0	0	0	1	0	0	0	0
alá	0	0	360	49001	44406	946	28	4	2	1	1	0	0	0	0
egyet	0	0	35	78306	10901	637	23	9	0	1	0	0	0	0	0
haza	2	2	383	51384	34784	2134	201	61	12	7	1	0	0	0	0
tovább	0	0	5	29413	43830	429	1	1	0	0	0	0	0	0	0
végig	0	0	71	48529	23142	766	46	11	4	2	1	0	0	0	0
szét	0	1	277	49640	21203	622	40	12	3	0	0	0	0	0	0
fenn	0	0	51	43391	26349	424	16	3	0	0	0	0	0	0	0
túl	0	0	95	48667	18829	328	4	5	2	0	0	0	0	0	0
ide	0	8	108	18031	27866	2708	261	94	25	9	1	0	1	0	0
neki	0	0	29	24433	9705	190	0	1	0	0	0	0	0	0	0
újra	0	0	4	23779	10254	116	2	1	0	1	0	0	0	0	0
végre	0	0	30	12659	20871	246	1	0	0	0	0	0	0	0	0
körül	0	0	15	17269	14616	615	34	6	0	0	0	0	0	0	0
előre	0	0	1	15613	16528	114	1	0	0	0	0	0	0	0	0
szembe	0	0	88	19624	9600	718	16	9	0	0	0	0	0	0	0
közzé	0	0	139	12356	16153	339	13	2	0	0	1	0	0	0	0
közre	0	0	17	23134	5636	145	3	0	2	0	0	0	0	0	0
félre	0	0	86	21885	5292	330	32	2	1	0	0	0	0	0	0
jóvá	0	1	155	19245	7870	206	21	4	0	0	0	0	0	0	0
észre	0	0	1	23041	2836	29	1	0	0	0	0	0	0	0	0
felül	0	0	33	18529	6998	89	1	0	0	0	0	0	0	0	0
tönkre	0	0	102	15304	4824	250	29	10	4	2	0	0	0	1	0
hátra	0	0	3	10642	9085	561	7	6	2	0	0	0	0	0	0
abba	0	0	134	13463	6072	523	23	9	1	1	0	0	0	0	0
helyre	0	0	72	12423	3666	174	6	0	0	0	0	0	0	0	0
körbe	0	0	44	11223	4523	180	24	8	0	1	0	0	0	0	0
egybe	0	0	24	11479	3855	207	18	7	3	0	0	0	0	0	0
együtt	0	0	3	12074	3036	101	2	0	0	0	0	0	0	0	0
utána	0	0	6	8474	5900	155	9	3	1	0	0	0	0	0	0
ott	0	0	1	11455	2749	18	0	0	0	0	0	0	0	0	0
közbe	0	0	32	8126	4752	141	8	3	1	1	0	0	0	0	0
agyon	0	0	39	8852	3081	155	4	2	1	0	0	0	0	0	0
keresztül	0	0	33	4616	6821	204	12	1	3	0	1	0	0	0	0
újjá	0	0	6	6537	2983	64	2	3	0	0	0	0	0	0	0
ellent	0	0	19	7100	1502	165	18	0	0	0	0	0	0	0	0
végbe	0	0	14	2430	5761	210	10	5	0	0	0	0	0	0	0
utol	0	0	98	6005	2161	14	3	0	0	0	0	0	0	0	0
ketté	0	0	29	6116	1887	100	13	4	1	1	0	0	0	0	0
alul	0	0	3	5835	2002	19	0	0	0	0	0	0	0	0	0
kölcsön	0	0	53	4596	2590	107	11	8	3	0	0	0	0	0	0
ellen	0	0	0	6068	422	0	0	0	0	0	0	0	0	0	0
félbe	0	0	39	4778	1415	57	4	2	1	0	0	0	0	0	0
tele	0	0	7	3502	1402	31	1	1	0	0	0	0	0	0	0
által	0	0	0	4589	18	0	0	0	0	0	0	0	0	0	0
rajta	0	0	8	2510	1484	109	0	0	0	0	0	0	0	0	0
mellé	0	0	0	2473	1358	50	1	0	0	0	0	0	0	0	0
fönn	0	0	0	2104	1272	7	0	0	0	0	0	0	0	0	0
külön	0	0	3	2384	593	22	3	0	0	0	0	0	0	0	0
belé	0	0	6	1426	1140	67	8	1	0	0	0	0	0	0	0
benn	0	0	0	2068	484	1	0	0	0	0	0	0	0	0	0
véghez	0	0	23	1024	1111	20	0	0	0	0	0	0	0	0	0
viszont	0	0	36	1196	824	73	5	2	0	0	0	0	0	0	0
alább	0	0	0	1354	552	15	1	0	0	0	0	0	0	0	0
szerte	0	0	4	1707	166	15	0	0	0	0	0	0	0	0	0
nyilván	0	0	0	1543	65	0	0	0	0	0	0	0	0	0	0
tova	0	0	0	992	345	35	7	5	1	1	0	0	0	0	0
fölül	0	0	5	626	359	6	0	0	0	0	0	0	0	0	0
széjjel	0	0	2	470	312	49	10	2	0	0	0	0	0	0	0
keresztbe	0	0	8	250	512	52	5	1	2	1	0	0	0	0	0
közé	0	0	2	103	239	8	0	0	0	0	0	0	0	0	0
teli	0	0	0	216	59	1	0	0	0	0	0	0	0	0	0
reá	0	0	1	55	142	7	0	0	0	0	0	0	0	0	0
