Igekötő	Szótagszám	Duplikálhatóság	NOM + NEG	-fele/felé	Gyakoriság	Produktivitás
abba	2	0	1	0	11868	6
agyon	2	1	0	0	8644	575
alul	2	0	0	1	6659	167
alább	2	0	0	0	1356	15
alá	2	4	4	34	43052	565
bele	2	627	21	18	154692	2835
belé	2	9	0	1	2011	467
benn	1	0	0	0	1930	49
be	1	983	1783	9637	911213	5127
bé	1	1	0	23	267	99
cserben	2	0	0	0	1279	2
egybe	2	0	2	0	11239	363
egyet	2	0	116	0	51816	6
együtt	2	0	3	0	10148	4
ellent	2	0	2	0	6280	2
ellen	2	0	0	18	5627	4
el	1	2375	594	503	2283707	6982
elé	2	0	0	16	12	5
előre	3	6	0	486	13658	536
elő	2	282	3	4	150810	844
fel	1	2509	198	15704	849031	3664
föl	1	787	21	6888	83576	2288
felül	2	0	0	0	17291	126
fenn	1	1	13	0	36649	48
félbe	2	0	0	0	4188	42
félre	2	19	0	0	20532	479
fölül	2	0	0	0	666	42
fönn	1	1	0	0	1753	24
hanyatt	2	0	0	0	13	1
haza	2	33	0	10533	48132	544
helyben	2	0	0	0	1592	2
helyre	2	1	0	0	11035	106
helyt	1	0	0	0	2054	2
hozzá	2	9	604	3	138223	735
hátra	2	67	0	2575	9552	423
ide	2	10	4	259	17070	889
jól	1	0	0	0	5203	10
jót	1	0	0	0	112	3
jóvá	2	0	1	0	14883	13
karban	2	0	0	0	806	3
keresztbe	3	0	0	0	289	46
keresztül	3	0	0	0	4276	316
ketté	2	1	0	2	5750	107
kinn	1	0	0	0	34	5
ki	1	1249	258	14890	1896834	5914
kétségbe	3	0	0	0	771	3
kívül	2	0	0	0	61	1
kölcsön	2	0	0	0	4488	11
körbe	2	20	0	0	11458	747
körül	2	10	0	1	14955	629
közben	2	0	0	0	538	2
közbe	2	31	1	0	5833	161
közre	2	0	2	0	14586	40
közzé	2	0	1	0	11031	5
közé	2	0	0	0	144	23
külön	2	1	0	0	2300	76
le	1	632	66	21444	721331	5420
létre	2	0	2	0	43129	7
meg	1	4389	940	187	3450104	7424
mellé	2	0	0	0	3470	277
nagyot	2	0	0	0	81	1
neki	2	58	0	2	24256	437
nyilván	2	0	0	0	1326	2
nyomon	2	0	0	0	58	2
oda	2	280	121	467	74141	1761
odább	2	0	0	0	32	2
odébb	2	0	0	0	482	2
ott	1	0	0	0	10550	21
rajta	2	0	0	0	2411	45
rendre	2	0	0	0	246	3
rá	1	160	4	7	179603	2155
reá	2	1	0	0	255	153
rosszul	2	0	0	0	201	2
szembe	2	0	1	0	23968	190
szemre	2	0	0	0	315	1
szerte	2	0	0	3	1921	210
széjjel	2	0	0	14	616	171
szét	1	19	7	35	48674	1433
szóba	2	0	0	0	134	2
szörnyet	2	0	0	0	723	1
síkra	2	0	0	0	255	2
tele	2	3	0	0	5869	464
teli	2	0	0	0	327	102
tisztán	2	0	0	0	14	1
tova	2	1	0	10	1305	230
tovább	2	1	0	0	25960	916
tönkre	2	0	0	2	15052	79
túl	1	3	0	9	47106	1047
utol	2	1	0	0	5669	11
utána	3	0	0	0	7604	333
vele	2	0	0	0	65	1
vissza	2	1347	97	9102	305397	2679
viszont	2	0	12	0	1284	81
végbe	2	0	0	0	2271	7
véghez	2	0	0	0	882	4
végig	2	7	1	0	45126	1795
végre	2	0	2	0	9642	13
vízre	2	0	0	0	16	1
által	2	0	0	0	5683	90
át	1	345	65	7	296581	2912
élen	2	0	0	0	131	2
észre	2	0	0	0	20918	6
össze	2	230	42	49	210774	2333
újjá	2	0	0	0	5843	92
újra	2	0	0	0	22852	896
útba	2	0	0	0	192	4
ajtót	2	0	0	0	1	1
arcul	2	0	0	0	1	1
bent	1	0	1	0	55	9
bosszút	2	0	0	0	0	0
békén	2	0	0	0	6	1
bérbe	2	0	0	0	6	1
csonttá	2	0	0	0	1	1
csúcsra	2	0	0	0	0	0
csődbe	2	0	0	0	119	4
célba	2	0	0	0	24	4
falra	2	0	0	0	3	3
fejbe	2	0	0	0	40	10
fejen	2	0	0	0	3	2
férjhez	2	0	0	0	39	3
földet	2	0	0	0	2	1
földhöz	2	0	0	0	2	2
földre	2	0	0	0	18	15
fülön	2	0	0	0	0	0
füstbe	2	0	0	0	30	2
főbe	2	0	0	0	2	1
gondot	2	0	0	0	0	0
görcsbe	2	0	0	0	5	2
gúzsba	2	0	0	0	0	0
hadat	2	0	0	0	1	1
hadba	2	0	0	0	4	2
hajba	2	0	0	0	4	1
hangot	2	0	0	0	0	0
harcba	2	0	0	0	0	0
hasba	2	0	0	0	3	2
hasra	2	0	0	0	25	4
hatályba	3	0	0	0	0	0
hegyet	2	0	0	0	0	0
hátba	2	0	0	0	24	9
házhoz	2	0	0	0	1	1
igazat	3	0	0	0	1	1
igénybe	3	0	0	0	0	0
irányt	2	0	0	0	2	2
jóra	2	0	0	0	2	1
kezet	2	0	0	0	21	7
kupán	2	0	0	0	1	1
kárba	2	0	0	0	5	4
kárt	1	0	0	0	0	0
készen	2	0	0	0	7	2
kézben	2	0	0	0	0	0
kézen	2	0	0	0	8	1
kézhez	2	0	0	0	0	0
kézre	2	0	0	0	29	3
kútba	2	0	0	0	2	1
küszöbön	3	0	0	0	23	1
latba	2	0	0	0	0	0
lábra	2	0	0	0	14	3
lángba	2	0	0	0	1	1
lángra	2	0	0	0	34	6
lázba	2	0	0	0	0	0
lényegre	3	0	0	0	1	1
lóvá	2	0	0	0	0	0
mellbe	2	0	0	0	16	2
mennybe	2	0	0	0	6	4
nagyra	2	0	0	0	4	3
nyakon	2	0	0	0	6	4
nyomra	2	0	0	0	1	1
nyélbe	2	0	0	0	0	0
oldalba	3	0	0	1	0	0
partra	2	0	0	0	15	2
piacra	3	0	0	0	0	0
pofon	2	0	0	0	5	4
pofán	2	0	0	0	10	5
porba	2	0	0	0	2	1
pórul	2	0	0	0	12	3
rabul	2	0	0	0	2	1
rendbe	2	0	0	0	120	10
ringbe	2	0	0	0	2	1
romba	2	0	0	0	6	2
részre	2	0	0	0	1	1
részt	1	0	0	0	248	5
seggbe	2	0	0	0	14	4
seggre	2	0	0	0	2	2
semmibe	3	0	0	0	7	2
sorban	2	0	0	0	11	2
sorba	2	0	0	0	12	4
sorra	2	0	0	0	13	2
szarrá	2	0	0	0	1	1
szemen	2	0	0	0	2	1
szemet	2	0	0	0	6	2
szemmel	2	0	0	0	1	1
szájon	2	0	0	0	2	2
számba	2	0	1	0	18	5
számon	2	0	0	0	14	2
számot	2	0	0	0	2	2
szárba	2	1	0	0	7	3
szárnyra	2	0	0	0	14	3
szénné	2	0	0	0	0	0
színre	2	0	0	0	24	3
szót	1	0	0	0	14	4
szóvá	2	0	0	0	0	0
sárba	2	0	0	0	1	1
talpon	2	0	0	0	0	0
talpra	2	0	0	0	30	7
tarkón	2	0	0	0	1	1
testet	2	0	0	0	3	2
testre	2	0	0	0	1	1
tetten	2	0	2	0	68	4
tollba	2	0	0	0	1	1
torkon	2	0	0	0	3	2
trónra	2	0	0	0	0	0
táncra	2	0	0	0	3	2
témába	3	0	0	0	1	1
térdre	2	0	0	0	24	10
tökön	2	0	0	0	1	1
törvényt	2	0	0	0	0	0
tükörbe	3	0	0	0	0	0
tőrbe	2	0	0	0	0	0
tűzbe	2	0	0	0	3	2
ujjá	2	0	0	0	14	5
utat	2	0	0	0	0	0
valóra	3	0	0	0	5	2
világgá	3	0	0	0	4	4
világra	3	0	0	0	1	1
véget	2	0	0	0	694	4
vérig	2	0	0	0	2	1
zavarba	3	0	0	0	4	2
zokon	2	0	0	0	0	0
zsebre	2	0	0	0	6	3
ágyba	2	0	0	0	3	3
állást	2	0	0	0	7	1
égbe	2	0	0	0	4	3
éhen	2	0	0	0	88	8
életben	3	0	0	0	2	1
életre	3	0	0	0	17	2
érvénybe	3	0	0	0	1	1
észhez	2	0	0	0	6	2
útra	2	1	0	0	101	7
